Release Dates,Measure Month
20/07/1947,30/06/1947
17/08/1947,31/07/1947
16/11/1947,31/10/1947
23/02/1948,31/01/1948
19/05/1948,30/04/1948
11/07/1948,30/06/1948
23/08/1948,31/07/1948
20/11/1948,31/10/1948
22/02/1949,31/01/1949
16/05/1949,30/04/1949
27/07/1949,30/06/1949
16/08/1949,31/07/1949
22/11/1949,31/10/1949
20/02/1950,31/01/1950
15/05/1950,30/04/1950
23/07/1950,30/06/1950
14/08/1950,31/07/1950
20/11/1950,31/10/1950
14/02/1951,31/01/1951
20/05/1951,30/04/1951
23/07/1951,30/06/1951
19/08/1951,31/07/1951
18/11/1951,31/10/1951
17/02/1952,31/01/1952
18/05/1952,30/04/1952
22/07/1952,30/06/1952
17/08/1952,31/07/1952
17/11/1952,31/10/1952
24/02/1953,31/01/1953
17/05/1953,30/04/1953
21/07/1953,30/06/1953
09/08/1953,31/07/1953
12/11/1953,31/10/1953
17/02/1954,31/01/1954
13/05/1954,30/04/1954
13/07/1954,30/06/1954
15/08/1954,31/07/1954
14/11/1954,31/10/1954
14/02/1955,31/01/1955
15/05/1955,30/04/1955
11/07/1955,30/06/1955
14/08/1955,31/07/1955
13/11/1955,31/10/1955
22/01/1956,31/12/1955
14/02/1956,31/01/1956
09/05/1956,30/04/1956
15/07/1956,30/06/1956
13/08/1956,31/07/1956
12/11/1956,31/10/1956
17/02/1957,31/01/1957
14/05/1957,30/04/1957
11/07/1957,30/06/1957
15/08/1957,31/07/1957
24/11/1957,31/10/1957
23/02/1958,31/01/1958
13/05/1958,30/04/1958
16/07/1958,30/06/1958
19/08/1958,31/07/1958
20/11/1958,31/10/1958
21/12/1958,30/11/1958
19/02/1959,31/01/1959
27/03/1959,28/02/1959
17/04/1959,31/03/1959
15/05/1959,30/04/1959
19/07/1959,30/06/1959
18/08/1959,31/07/1959
23/10/1959,30/09/1959
13/11/1959,31/10/1959
16/02/1960,31/01/1960
20/04/1960,31/03/1960
11/05/1960,30/04/1960
22/07/1960,30/06/1960
23/08/1960,31/07/1960
20/10/1960,30/09/1960
20/11/1960,31/10/1960
19/02/1961,31/01/1961
20/04/1961,31/03/1961
18/05/1961,30/04/1961
19/07/1961,30/06/1961
18/08/1961,31/07/1961
20/10/1961,30/09/1961
21/11/1961,31/10/1961
20/12/1961,30/11/1961
24/02/1962,31/01/1962
19/04/1962,31/03/1962
18/05/1962,30/04/1962
20/07/1962,30/06/1962
14/08/1962,31/07/1962
18/10/1962,30/09/1962
20/11/1962,31/10/1962
20/02/1963,31/01/1963
19/04/1963,31/03/1963
21/05/1963,30/04/1963
22/07/1963,30/06/1963
16/08/1963,31/07/1963
21/10/1963,30/09/1963
18/11/1963,31/10/1963
17/01/1964,31/12/1963
20/02/1964,31/01/1964
17/04/1964,31/03/1964
18/05/1964,30/04/1964
16/07/1964,30/06/1964
18/08/1964,31/07/1964
14/10/1964,30/09/1964
18/11/1964,31/10/1964
14/01/1965,31/12/1964
17/02/1965,31/01/1965
14/04/1965,31/03/1965
14/05/1965,30/04/1965
14/07/1965,30/06/1965
19/08/1965,31/07/1965
13/10/1965,30/09/1965
15/11/1965,31/10/1965
13/01/1966,31/12/1965
15/02/1966,31/01/1966
18/04/1966,31/03/1966
20/05/1966,30/04/1966
