Release Dates,Measure Month
10/02/1978,31/01/1978
09/03/1978,28/02/1978
06/04/1978,31/03/1978
04/05/1978,30/04/1978
02/06/1978,31/05/1978
07/07/1978,30/06/1978
10/08/1978,31/07/1978
08/09/1978,31/08/1978
05/10/1978,30/09/1978
02/11/1978,31/10/1978
07/12/1978,30/11/1978
11/01/1979,31/12/1978
09/02/1979,31/01/1979
08/03/1979,28/02/1979
05/04/1979,31/03/1979
03/05/1979,30/04/1979
07/06/1979,31/05/1979
06/07/1979,30/06/1979
09/08/1979,31/07/1979
07/09/1979,31/08/1979
04/10/1979,30/09/1979
01/11/1979,31/10/1979
06/12/1979,30/11/1979
11/01/1980,31/12/1979
15/02/1980,31/01/1980
07/03/1980,29/02/1980
04/04/1980,31/03/1980
09/05/1980,30/04/1980
06/06/1980,31/05/1980
08/07/1980,30/06/1980
15/08/1980,31/07/1980
05/09/1980,31/08/1980
03/10/1980,30/09/1980
07/11/1980,31/10/1980
05/12/1980,30/11/1980
09/01/1981,31/12/1980
13/02/1981,31/01/1981
06/03/1981,28/02/1981
03/04/1981,31/03/1981
08/05/1981,30/04/1981
05/06/1981,31/05/1981
07/07/1981,30/06/1981
14/08/1981,31/07/1981
04/09/1981,31/08/1981
09/10/1981,30/09/1981
10/11/1981,31/10/1981
09/12/1981,30/11/1981
15/01/1982,31/12/1981
12/02/1982,31/01/1982
12/03/1982,28/02/1982
09/04/1982,31/03/1982
14/05/1982,30/04/1982
11/06/1982,31/05/1982
16/07/1982,30/06/1982
13/08/1982,31/07/1982
10/09/1982,31/08/1982
15/10/1982,30/09/1982
16/11/1982,31/10/1982
10/12/1982,30/11/1982
14/01/1983,31/12/1982
11/02/1983,31/01/1983
18/03/1983,28/02/1983
15/04/1983,31/03/1983
13/05/1983,30/04/1983
10/06/1983,31/05/1983
15/07/1983,30/06/1983
12/08/1983,31/07/1983
09/09/1983,31/08/1983
14/10/1983,30/09/1983
10/11/1983,31/10/1983
16/12/1983,30/11/1983
13/01/1984,31/12/1983
10/02/1984,31/01/1984
16/03/1984,29/02/1984
13/04/1984,31/03/1984
11/05/1984,30/04/1984
15/06/1984,31/05/1984
13/07/1984,30/06/1984
10/08/1984,31/07/1984
14/09/1984,31/08/1984
12/10/1984,30/09/1984
09/11/1984,31/10/1984
14/12/1984,30/11/1984
11/01/1985,31/12/1984
15/02/1985,31/01/1985
15/03/1985,28/02/1985
12/04/1985,31/03/1985
10/05/1985,30/04/1985
14/06/1985,31/05/1985
12/07/1985,30/06/1985
12/08/1985,31/07/1985
13/09/1985,31/08/1985
11/10/1985,30/09/1985
15/11/1985,31/10/1985
13/12/1985,30/11/1985
10/01/1986,31/12/1985
15/02/1986,31/01/1986
14/03/1986,28/02/1986
11/04/1986,31/03/1986
16/05/1986,30/04/1986
13/06/1986,31/05/1986
11/07/1986,30/06/1986
15/08/1986,31/07/1986
12/09/1986,31/08/1986
10/10/1986,30/09/1986
14/11/1986,31/10/1986
12/12/1986,30/11/1986
09/01/1987,31/12/1986
13/02/1987,31/01/1987
13/03/1987,28/02/1987
15/04/1987,31/03/1987
15/05/1987,30/04/1987
12/06/1987,31/05/1987
10/07/1987,30/06/1987
14/08/1987,31/07/1987
11/09/1987,31/08/1987
16/10/1987,30/09/1987
13/11/1987,31/10/1987
11/12/1987,30/11/1987
15/01/1988,31/12/1987
12/02/1988,31/01/1988
17/03/1988,29/02/1988
14/04/1988,31/03/1988
13/05/1988,30/04/1988
10/06/1988,31/05/1988
15/07/1988,30/06/1988
12/08/1988,31/07/1988
09/09/1988,31/08/1988
14/10/1988,30/09/1988
10/11/1988,31/10/1988
16/12/1988,30/11/1988
13/01/1989,31/12/1988
12/02/1989,31/01/1989
17/03/1989,28/02/1989
14/04/1989,31/03/1989
12/05/1989,30/04/1989
09/06/1989,31/05/1989
14/07/1989,30/06/1989
11/08/1989,31/07/1989
15/09/1989,31/08/1989
13/10/1989,30/09/1989
09/11/1989,31/10/1989
15/12/1989,30/11/1989
12/01/1990,31/12/1989
09/02/1990,31/01/1990
16/03/1990,28/02/1990
13/04/1990,31/03/1990
11/05/1990,30/04/1990
14/06/1990,31/05/1990
13/07/1990,30/06/1990
10/08/1990,31/07/1990
14/09/1990,31/08/1990
12/10/1990,30/09/1990
09/11/1990,31/10/1990
14/12/1990,30/11/1990
11/01/1991,31/12/1990
15/02/1991,31/01/1991
15/03/1991,28/02/1991
11/04/1991,31/03/1991
10/05/1991,30/04/1991
13/06/1991,31/05/1991
12/07/1991,30/06/1991
09/08/1991,31/07/1991
12/09/1991,31/08/1991
11/10/1991,30/09/1991
13/11/1991,31/10/1991
12/12/1991,30/11/1991
09/01/1992,31/12/1991
14/02/1992,31/01/1992
13/03/1992,29/02/1992
09/04/1992,31/03/1992
12/05/1992,30/04/1992
11/06/1992,31/05/1992
10/07/1992,30/06/1992
12/08/1992,31/07/1992
11/09/1992,31/08/1992
14/10/1992,30/09/1992
10/11/1992,31/10/1992
10/12/1992,30/11/1992
14/01/1993,31/12/1992
12/02/1993,31/01/1993
12/03/1993,28/02/1993
08/04/1993,31/03/1993
12/05/1993,30/04/1993
11/06/1993,31/05/1993
13/07/1993,30/06/1993
12/08/1993,31/07/1993
10/09/1993,31/08/1993
14/10/1993,30/09/1993
09/11/1993,31/10/1993
09/12/1993,30/11/1993
12/01/1994,31/12/1993
11/02/1994,31/01/1994
15/03/1994,28/02/1994
12/04/1994,31/03/1994
12/05/1994,30/04/1994
10/06/1994,31/05/1994
12/07/1994,30/06/1994
11/08/1994,31/07/1994
09/09/1994,31/08/1994
13/10/1994,30/09/1994
10/11/1994,31/10/1994
13/12/1994,30/11/1994
10/01/1995,31/12/1994
10/02/1995,31/01/1995
15/03/1995,28/02/1995
11/04/1995,31/03/1995
11/05/1995,30/04/1995
09/06/1995,31/05/1995
13/07/1995,30/06/1995
10/08/1995,31/07/1995
12/09/1995,31/08/1995
12/10/1995,30/09/1995
09/11/1995,31/10/1995
12/12/1995,30/11/1995
31/01/1996,31/01/1996
27/02/1996,31/01/1996
14/03/1996,29/02/1996
11/04/1996,31/03/1996
10/05/1996,30/04/1996
11/06/1996,31/05/1996
12/07/1996,30/06/1996
09/08/1996,31/07/1996
12/09/1996,31/08/1996
11/10/1996,30/09/1996
13/11/1996,31/10/1996
11/12/1996,30/11/1996
09/01/1997,31/12/1996
14/02/1997,31/01/1997
14/03/1997,28/02/1997
11/04/1997,31/03/1997
14/05/1997,30/04/1997
13/06/1997,31/05/1997
11/07/1997,30/06/1997
13/08/1997,31/07/1997
12/09/1997,31/08/1997
10/10/1997,30/09/1997
14/11/1997,31/10/1997
12/12/1997,30/11/1997
08/01/1998,31/12/1997
18/02/1998,31/01/1998
13/03/1998,28/02/1998
09/04/1998,31/03/1998
13/05/1998,30/04/1998
12/06/1998,31/05/1998
10/07/1998,30/06/1998
14/08/1998,31/07/1998
11/09/1998,31/08/1998
15/10/1998,30/09/1998
13/11/1998,31/10/1998
11/12/1998,30/11/1998
12/01/1999,31/12/1998
18/02/1999,31/01/1999
12/03/1999,28/02/1999
09/04/1999,31/03/1999
13/05/1999,30/04/1999
11/06/1999,31/05/1999
14/07/1999,30/06/1999
13/08/1999,31/07/1999
10/09/1999,31/08/1999
15/10/1999,30/09/1999
10/11/1999,31/10/1999
10/12/1999,30/11/1999
13/01/2000,31/12/1999
17/02/2000,31/01/2000
16/03/2000,29/02/2000
13/04/2000,31/03/2000
12/05/2000,30/04/2000
09/06/2000,31/05/2000
14/07/2000,30/06/2000
11/08/2000,31/07/2000
14/09/2000,31/08/2000
13/10/2000,30/09/2000
09/11/2000,31/10/2000
14/12/2000,30/11/2000
12/01/2001,31/12/2000
16/02/2001,31/01/2001
16/03/2001,28/02/2001
12/04/2001,31/03/2001
11/05/2001,30/04/2001
14/06/2001,31/05/2001
13/07/2001,30/06/2001
10/08/2001,31/07/2001
14/09/2001,31/08/2001
12/10/2001,30/09/2001
09/11/2001,31/10/2001
13/12/2001,30/11/2001
11/01/2002,31/12/2001
13/02/2002,31/01/2002
15/02/2002,31/01/2002
15/03/2002,28/02/2002
12/04/2002,31/03/2002
10/05/2002,30/04/2002
13/06/2002,31/05/2002
11/07/2002,30/06/2002
08/08/2002,31/07/2002
13/09/2002,31/08/2002
11/10/2002,30/09/2002
15/11/2002,31/10/2002
13/12/2002,30/11/2002
15/01/2003,31/12/2002
20/02/2003,31/01/2003
14/03/2003,28/02/2003
11/04/2003,31/03/2003
15/05/2003,30/04/2003
13/06/2003,31/05/2003
11/07/2003,30/06/2003
14/08/2003,31/07/2003
12/09/2003,31/08/2003
10/10/2003,30/09/2003
14/11/2003,31/10/2003
12/12/2003,30/11/2003
14/01/2004,31/12/2003
18/03/2004,29/02/2004
01/04/2004,31/03/2004
05/04/2004,31/03/2004
22/04/2004,31/03/2004
13/05/2004,30/04/2004
17/06/2004,31/05/2004
15/07/2004,30/06/2004
13/08/2004,31/07/2004
10/09/2004,31/08/2004
15/10/2004,30/09/2004
16/11/2004,31/10/2004
10/12/2004,30/11/2004
14/01/2005,31/12/2004
18/02/2005,31/01/2005
22/03/2005,28/02/2005
19/04/2005,31/03/2005
17/05/2005,30/04/2005
24/05/2005,30/04/2005
14/06/2005,31/05/2005
15/07/2005,30/06/2005
17/08/2005,31/07/2005
13/09/2005,31/08/2005
18/10/2005,30/09/2005
15/11/2005,31/10/2005
20/12/2005,30/11/2005
13/01/2006,31/12/2005
15/02/2006,31/01/2006
17/02/2006,31/01/2006
21/03/2006,28/02/2006
18/04/2006,31/03/2006
16/05/2006,30/04/2006
13/06/2006,31/05/2006
18/07/2006,30/06/2006
15/08/2006,31/07/2006
19/09/2006,31/08/2006
17/10/2006,30/09/2006
14/11/2006,31/10/2006
19/12/2006,30/11/2006
17/01/2007,31/12/2006
14/02/2007,31/01/2007
16/02/2007,31/01/2007
15/03/2007,28/02/2007
13/04/2007,31/03/2007
11/05/2007,30/04/2007
14/06/2007,31/05/2007
17/07/2007,30/06/2007
14/08/2007,31/07/2007
18/09/2007,31/08/2007
12/10/2007,30/09/2007
14/11/2007,31/10/2007
13/12/2007,30/11/2007
15/01/2008,31/12/2007
22/02/2008,31/01/2008
26/02/2008,31/01/2008
18/03/2008,29/02/2008
15/04/2008,31/03/2008
20/05/2008,30/04/2008
17/06/2008,31/05/2008
15/07/2008,30/06/2008
19/08/2008,31/07/2008
