date,5 YR,1 YR,10 YR,3 YR,20 YR
1929-01-01,3.99,4.55,3.52,4.22,3.51
1929-02-01,4.1,4.62,3.62,4.32,3.7
1929-03-01,4.33,4.89,3.74,4.58,3.79
1929-04-01,4.07,4.86,3.64,4.38,3.58
1929-05-01,4.42,5.04,3.64,4.7,3.71
1929-06-01,4.33,4.76,3.69,4.53,3.54
1929-07-01,4.33,4.83,3.64,4.56,3.35
1929-08-01,4.25,4.61,3.71,4.42,3.6
1929-09-01,4.39,4.8,3.7,4.58,3.5
1929-10-01,4.28,4.37,3.61,4.44,2.96
1929-11-01,3.8,3.59,3.35,3.87,3.1
1929-12-01,3.72,3.43,3.36,3.75,3.26
1930-01-01,3.81,3.9,3.43,3.87,3.31
1930-02-01,3.71,3.52,3.41,3.75,3.23
1930-03-01,3.5,3.22,3.29,3.51,3.24
1930-04-01,3.56,3.35,3.37,3.57,3.31
1930-05-01,3.46,2.94,3.31,3.45,3.17
1930-06-01,3.38,2.43,3.25,3.19,3.11
1930-07-01,3.22,2.53,3.25,3.16,3.26
1930-08-01,3.3,2.49,3.26,3.07,3.12
1930-09-01,3.06,2.36,3.24,2.98,3.28
1930-10-01,3.12,2.28,3.21,2.93,3.19
1930-11-01,2.98,1.97,3.19,2.67,3.3
1930-12-01,3.05,1.93,3.22,2.79,3.28
1931-01-01,2.79,1.59,3.2,2.39,3.5
1931-02-01,2.64,1.72,3.3,2.24,3.19
1931-03-01,3.11,2.01,3.27,2.85,3.31
1931-04-01,2.98,1.87,3.26,2.71,3.3
1931-05-01,2.6,1.17,3.16,2.09,3.17
1931-06-01,2.47,1.05,3.13,1.92,3.06
1931-07-01,2.32,0.78,3.15,1.7,2.98
1931-08-01,2.83,1.31,3.18,2.45,3.29
1931-09-01,2.79,1.67,3.25,2.32,3.16
1931-10-01,3.4,2.68,3.63,3.09,3.56
1931-11-01,3.28,2.58,3.63,2.98,3.57
1931-12-01,4.41,3.8,3.93,4.41,4.01
1932-01-01,4.82,3.91,4.26,4.83,4.14
1932-02-01,4.36,3.65,4.11,4.38,3.73
1932-03-01,4.29,3.35,3.92,4.28,3.77
1932-04-01,3.6,1.76,3.68,3.2,3.46
1932-05-01,3.71,1.34,3.76,3.01,3.78
1932-06-01,3.55,1.3,3.76,2.9,3.49
1932-07-01,3.29,1.42,3.58,2.85,3.46
1932-08-01,3.28,1.39,3.45,2.85,3.42
1932-09-01,3.09,1.03,3.42,2.47,3.28
1932-10-01,2.97,0.89,3.43,2.27,3.29
1932-11-01,2.97,0.86,3.45,2.26,3.22
1932-12-01,2.77,0.8,3.35,2.1,3.15
1933-01-01,2.67,0.73,3.22,1.97,2.96
1933-02-01,3.47,1.74,3.31,3.09,3.42
1933-03-01,3.33,1.91,3.42,3.01,3.34
1933-04-01,3.28,1.28,3.42,2.7,3.22
1933-05-01,2.95,1.06,3.3,2.38,3.17
1933-06-01,2.86,0.91,3.21,2.21,2.95
1933-07-01,2.94,1.09,3.2,2.38,3.14
1933-08-01,2.78,0.86,3.21,2.14,3.01
1933-09-01,2.85,0.83,3.19,2.17,3.01
1933-10-01,3.0,1.04,3.22,2.42,3.13
1933-11-01,3.53,1.61,3.46,3.12,3.29
1933-12-01,3.48,2.26,3.53,3.37,3.58
1934-01-01,3.26,2.14,3.5,3.13,3.53
1934-02-01,3.21,1.34,3.32,2.79,3.24
1934-03-01,2.82,0.9,3.2,2.18,2.91
1934-04-01,2.56,0.8,3.11,1.95,3.07
1934-05-01,2.34,0.67,3.02,1.69,2.72
1934-06-01,2.18,0.6,2.98,1.54,2.67
1934-07-01,2.2,0.6,2.92,1.55,2.58
1934-08-01,2.47,0.76,3.03,1.83,2.78
1934-09-01,2.92,1.08,3.2,2.37,3.16
1934-10-01,2.61,0.9,3.1,2.03,2.95
1934-11-01,2.6,0.9,3.07,2.02,2.92
1934-12-01,2.35,0.71,3.01,1.71,2.68
1935-01-01,2.15,0.63,2.88,1.53,2.48
1935-02-01,1.93,0.51,2.79,1.32,2.24
1935-03-01,1.8,0.48,2.77,1.22,2.67
1935-04-01,1.77,0.47,2.74,1.19,2.66
1935-05-01,1.79,0.49,2.72,1.23,2.59
1935-06-01,1.67,0.45,2.72,1.13,2.62
1935-07-01,1.65,0.44,2.69,1.11,2.69
1935-08-01,1.91,0.55,2.76,1.32,2.48
1935-09-01,2.06,0.61,2.85,1.47,2.81
1935-10-01,1.91,0.56,2.85,1.34,2.77
1935-11-01,1.91,0.52,2.83,1.33,2.79
1935-12-01,1.79,0.48,2.83,1.22,2.74
1936-01-01,1.79,0.52,2.8,1.23,2.72
1936-02-01,1.67,0.49,2.77,1.15,2.71
1936-03-01,1.64,0.48,2.71,1.13,2.65
1936-04-01,1.63,0.48,2.68,1.12,2.62
1936-05-01,1.64,0.49,2.66,1.13,2.63
1936-06-01,1.7,0.48,2.66,1.19,2.73
1936-07-01,1.7,0.49,2.65,1.2,2.73
1936-08-01,1.62,0.5,2.61,1.14,2.66
1936-09-01,1.68,0.51,2.6,1.2,2.71
1936-10-01,1.72,0.5,2.62,1.26,2.76
1936-11-01,1.5,0.44,2.53,1.08,2.69
1936-12-01,1.64,0.66,2.51,1.33,2.74
1937-01-01,1.76,0.73,2.47,1.45,2.72
1937-02-01,1.81,0.78,2.46,1.51,2.67
1937-03-01,2.24,1.16,2.6,1.93,3.03
1937-04-01,2.23,1.07,2.8,1.84,2.96
1937-05-01,2.01,1.2,2.76,1.81,3.15
1937-06-01,2.11,1.26,2.76,1.92,3.14
1937-07-01,1.98,1.14,2.72,1.79,3.05
1937-08-01,2.18,1.33,2.72,2.01,3.08
